Country Name,Country Code,Indicator Name,Indicator Code,1960,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Czech Republic,CZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,3.790040016,4.198810101,4.709340096,4.564179897,4.290070057,,3.607929945,3.688790083,3.665359974,3.760720015,3.989890099,4.151770115,4.017439842,3.896270037,4.220459938,3.876840115,3.748389959,4.182360172,4.077280045,4.276120186,4.250770092,4.089019775,,,,
Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,4.410160065,4.335569859,4.418190002,4.474639893,,4.449550152,,,,,,,,4.28512001,4.348619938,4.412539959,4.881040096,4.913790226,4.813360214,4.9302001,4.928420067,4.952189922,,,
Djibouti,DJI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.629479885,9.659999847,7.784810066,8.452010155,8.853850365,9.294119835,8.361840248,8.257329941,8.389160156,,,4.480790138,,,,,,,
Dominica,DMA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,5.178329945,,,,,,,,,7.160590172,4.991839886,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,6.053170204,6.472859859,6.539999962,6.330979824,6.619810104,6.758870125,,5.68859005,5.768670082,5.589459896,5.938600063,,,,,,5.860000134,6.089690208,6.358580112,5.864789963,,5.606520176,,7.785109997,7.473209858,7.445769787,7.870639801,,8.079409599,7.940889835,8.065560341,8.224599838,8.2146101,8.103610039,8.185890198,8.065150261,7.740310192,7.610549927,7.482150078,8.508879662,8.611510277,8.562999725,7.29557991,8.627109528,,,,
Dominican Republic,DOM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,2.640969992,,,,,,,,,,,,1.597540021,1.565459967,1.497789979,1.210190058,,,,,,,,0.781180024,0.90200001,1.048599958,1.233800054,,,,1.914090037,2.021369934,1.969409943,1.876330018,,,,2.044569969,,,,,,,,,,
Algeria,DZA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,7.187449932,6.577179909,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.354249954,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,2.439464986,2.894775033,3.730554938,,,4.26079011,2.740120053,2.995899916,,2.743479967,,,3.074919939,3.507390022,3.865410089,4.077284932,4.704180002,4.557859898,4.12887001,,,,
Early-demographic dividend,EAR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21502018,4.006774902,4.245299816,3.752400041,3.951509953,3.462684989,,4.055134892,3.532519937,4.060440063,,3.866830111,3.845119953,3.80934,3.655485034,,,,
East Asia & Pacific,EAS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,2.955664992,,3.902450085,,,,,,,,,,,,,3.089504957,,,,,,3.556060076,3.828474998,,3.855144978,3.634455085,3.90811491,3.462270021,3.507390022,4.531215191,3.635799885,4.599870205,4.557859898,3.941884995,,,,
